,CRS_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,FL_NUM,ORIGIN,Weather,DAY_WEEK,DAY_OF_MONTH,TAIL_NUM,FlightStatus
0,15.0,OH,1455,JFK,184,01/01/2004,5935,BWI,0,THU,1,N940CA,0
1,16.0,DH,1640,JFK,213,01/01/2004,6155,DCA,0,THU,1,N405FJ,0
2,12.0,DH,1245,LGA,229,01/01/2004,7208,IAD,0,THU,1,N695BR,0
3,17.0,DH,1709,LGA,229,01/01/2004,7215,IAD,0,THU,1,N662BR,0
4,10.0,DH,1035,LGA,229,01/01/2004,7792,IAD,0,THU,1,N698BR,0
5,8.0,DH,839,JFK,228,01/01/2004,7800,IAD,0,THU,1,N687BR,0
6,12.0,DH,1243,JFK,228,01/01/2004,7806,IAD,0,THU,1,N321UE,0
7,16.0,DH,1644,JFK,228,01/01/2004,7810,IAD,0,THU,1,N301UE,0
8,17.0,DH,1710,JFK,228,01/01/2004,7812,IAD,0,THU,1,N328UE,0
9,21.0,DH,2129,JFK,228,01/01/2004,7814,IAD,0,THU,1,N685BR,0
10,21.0,DH,2114,LGA,229,01/01/2004,7924,IAD,0,THU,1,N645BR,0
11,15.0,DL,1458,JFK,213,01/01/2004,746,DCA,0,THU,1,N918DE,0
12,9.0,DL,932,LGA,214,01/01/2004,1746,DCA,0,THU,1,N242DL,0
13,12.0,DL,1228,LGA,214,01/01/2004,1752,DCA,0,THU,1,N241DL,0
14,14.0,DL,1429,LGA,214,01/01/2004,1756,DCA,0,THU,1,N242DL,0
15,17.0,DL,1728,LGA,214,01/01/2004,1762,DCA,0,THU,1,N241DL,0
16,20.0,DL,2029,LGA,214,01/01/2004,1768,DCA,0,THU,1,N242DL,0
17,15.0,MQ,1525,JFK,213,01/01/2004,4752,DCA,0,THU,1,N709MQ,0
18,6.0,MQ,556,JFK,213,01/01/2004,4760,DCA,0,THU,1,N717MQ,0
19,18.0,MQ,1822,JFK,213,01/01/2004,4784,DCA,0,THU,1,N707MQ,0
20,9.0,MQ,853,LGA,214,01/01/2004,4956,DCA,0,THU,1,N737MQ,0
21,13.0,MQ,1254,LGA,214,01/01/2004,4964,DCA,0,THU,1,N717MQ,0
22,14.0,MQ,1356,LGA,214,01/01/2004,4966,DCA,0,THU,1,N726MQ,0
23,15.0,MQ,1452,LGA,214,01/01/2004,4968,DCA,0,THU,1,N724MQ,0
24,19.0,MQ,1853,LGA,214,01/01/2004,4976,DCA,0,THU,1,N724MQ,0
25,8.0,UA,841,LGA,229,01/01/2004,846,IAD,0,THU,1,N513UA,0
26,9.0,US,858,LGA,214,01/01/2004,2164,DCA,0,THU,1,N709UW,0
27,11.0,US,1056,LGA,214,01/01/2004,2168,DCA,0,THU,1,N748UW,0
28,13.0,US,1253,LGA,214,01/01/2004,2172,DCA,0,THU,1,N709UW,0
29,15.0,US,1458,LGA,214,01/01/2004,2176,DCA,0,THU,1,N748UW,0
30,17.0,US,1655,LGA,214,01/01/2004,2180,DCA,0,THU,1,N709UW,0
31,21.0,US,2055,LGA,214,01/01/2004,2188,DCA,0,THU,1,N709UW,0
32,15.0,RU,1452,EWR,169,01/01/2004,2403,BWI,0,THU,1,N14916,0
33,17.0,RU,1710,EWR,169,01/01/2004,2675,BWI,0,THU,1,N16954,0
34,10.0,RU,1030,EWR,169,01/01/2004,2303,BWI,0,THU,1,N26549,0
35,7.0,RU,656,EWR,169,01/01/2004,2703,BWI,0,THU,1,N16954,0
36,13.0,CO,1256,EWR,199,01/01/2004,808,DCA,0,THU,1,N18611,0
37,17.0,CO,1726,EWR,199,01/01/2004,814,DCA,0,THU,1,N19357,0
38,8.0,DH,840,EWR,213,01/01/2004,7299,IAD,0,THU,1,N691BR,0
39,17.0,DH,1704,EWR,213,01/01/2004,7302,IAD,0,THU,1,N691BR,0
40,12.0,DH,1245,EWR,213,01/01/2004,7303,IAD,0,THU,1,N697BR,0
41,21.0,DH,2118,EWR,213,01/01/2004,7304,IAD,0,THU,1,N699BR,0
42,17.0,RU,1651,EWR,213,01/01/2004,2497,IAD,0,THU,1,N12540,0
43,19.0,RU,1850,EWR,213,01/01/2004,2385,IAD,0,THU,1,N16149,0
44,15.0,RU,1521,EWR,199,01/01/2004,2261,DCA,0,THU,1,N12564,0
45,19.0,RU,1855,EWR,199,01/01/2004,2336,DCA,0,THU,1,N21537,0
46,14.0,RU,1357,EWR,199,01/01/2004,2216,DCA,0,THU,1,N15983,0
47,15.0,RU,1508,EWR,213,01/01/2004,2156,IAD,0,THU,1,N16149,0
48,13.0,RU,1255,EWR,213,01/01/2004,2664,IAD,0,THU,1,N12519,0
49,16.0,RU,1625,EWR,199,01/01/2004,2181,DCA,0,THU,1,N19966,0
50,15.0,OH,1455,JFK,184,01/02/2004,5935,BWI,0,FRI,2,N995CA,0
51,16.0,DH,1641,JFK,213,01/02/2004,6155,DCA,0,FRI,2,N415FJ,0
52,12.0,DH,1249,LGA,229,01/02/2004,7208,IAD,0,FRI,2,N688BR,0
53,15.0,DH,1531,LGA,229,01/02/2004,7211,IAD,0,FRI,2,N665BR,1
54,17.0,DH,1712,LGA,229,01/02/2004,7215,IAD,0,FRI,2,N639BR,0
55,6.0,DH,645,LGA,229,01/02/2004,7790,IAD,0,FRI,2,N686BR,0
56,10.0,DH,1236,LGA,229,01/02/2004,7792,IAD,0,FRI,2,N665BR,1
57,8.0,DH,859,JFK,228,01/02/2004,7800,IAD,0,FRI,2,N645BR,0
58,12.0,DH,1232,JFK,228,01/02/2004,7806,IAD,0,FRI,2,N332UE,0
59,15.0,DH,1455,JFK,228,01/02/2004,7808,IAD,0,FRI,2,N324UE,0
60,16.0,DH,1645,JFK,228,01/02/2004,7810,IAD,0,FRI,2,N305UE,0
61,17.0,DH,1716,JFK,228,01/02/2004,7812,IAD,0,FRI,2,N322UE,0
62,21.0,DH,2305,JFK,228,01/02/2004,7814,IAD,0,FRI,2,N657BR,1
63,16.0,DH,1605,JFK,228,01/02/2004,7816,IAD,0,FRI,2,N315UE,0
64,21.0,DH,2118,LGA,229,01/02/2004,7924,IAD,0,FRI,2,N709BR,0
65,15.0,DL,1458,JFK,213,01/02/2004,746,DCA,0,FRI,2,N964DL,0
66,9.0,DL,930,LGA,214,01/02/2004,1746,DCA,0,FRI,2,N241DL,0
67,12.0,DL,1230,LGA,214,01/02/2004,1752,DCA,0,FRI,2,N225DL,0
68,14.0,DL,1427,LGA,214,01/02/2004,1756,DCA,0,FRI,2,N241DL,0
69,17.0,DL,1730,LGA,214,01/02/2004,1762,DCA,0,FRI,2,N225DL,0
70,20.0,DL,2028,LGA,214,01/02/2004,1768,DCA,0,FRI,2,N241DL,0
71,15.0,MQ,1522,JFK,213,01/02/2004,4752,DCA,0,FRI,2,N720MQ,0
72,6.0,MQ,552,JFK,213,01/02/2004,4760,DCA,0,FRI,2,N736MQ,0
73,18.0,MQ,1847,JFK,213,01/02/2004,4784,DCA,0,FRI,2,N727MQ,0
